Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_fraxamer,CohortsHarvested_piceglau,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_poputrem,CohortsHarvested_querelli,CohortsHarvested_querrubr,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,
25, 1, SelectiveNorthernHardwood, 45, 59, 102, 200, 135, 5, 110.07, 22.014, 34, 0, 0, 10, 4, 10, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.48, 5.65, 35.12, 0, 37.82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 44, 31, 178, 2566, 52, 6, 155.59, 25.9317, 55, 0, 0, 12, 14, 12, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26.13, 22.08, 56.27, 0, 51.11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 47, 63, 112, 64, 121, 8, 61.12, 7.64, 19, 0, 0, 10, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.15, 0, 15.93, 0, 14.04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 43, 42, 127, 984, 24, 3, 50.26, 16.7533, 17, 0, 0, 5, 3, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.1, 4.75, 17.01, 0, 16.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 46, 35, 150, 2326, 92, 6, 103.3, 17.2167, 43, 0, 0, 11, 7, 11, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.72, 8.91, 35.27, 0, 35.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 48, 54, 123, 376, 67, 4, 51.55, 12.8875, 17, 0, 0, 7, 1, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20.19, 1.13, 16.21, 0, 14.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 50, 67, 85, 40, 67, 6, 58.58, 9.7633, 18, 0, 0, 8, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.78, 0, 16.84, 0, 17.96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 51, 60, 125, 193, 95, 5, 68.63, 13.726, 22, 0, 0, 8, 2, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.23, 4.05, 19.29, 0, 21.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 49, 66, 135, 44, 72, 5, 16.3, 3.26, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 54, 70, 109, 23, 121, 3, 10.38, 3.46, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
